media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"147903","http://247sports.com/","247sports.com","USA","","en","United States","digital_native","","","42.83","2018-06-25"
"325070","http://90min.com/","90min.com","","","en","England","","","","40.18","2019-09-23"
"56","http://www2.arkansasonline.com/","Arkansas Democrat-Gazette ","USA","US-AR","en","United States","print_native","","","85.68","2013-01-14"
"25128","http://www.azcentral.com","AZCentral","USA","US-AZ","en","United States","digital_native","","","169.76","2015-09-14"
"18452","http://www.bgr.com","bgr.com","USA","","en","United States","","","","25.51","2019-09-23"
"24901","http://bleacherreport.com","bleacherreport.com","USA","","en","United States","digital_native","","","266.14","2013-06-10"
"85390","http://blogs.indystar.com/#spider","blogs.indystar.com","USA","US-IN","en","United States","print_native","","","42.46","2017-11-27"
"77168","http://blogs.philly.com/#spider","blogs.philly.com","USA","US-PA","en","","print_native","","","0.0","2013-05-20"
"18710","http://www.businessinsider.com","Business Insider","USA","","en","United States","digital_native","","","257.72","2013-06-10"
"98755","http://www.bustle.com/#spider","Bustle","","","en","United States","","","","45.87","2017-11-20"
"6218","http://www.buzzfeed.com","Buzzfeed","USA","","en","none","digital_native","","","107.62","2014-02-10"
"815151","http://buzzfeednews.com/","buzzfeednews.com","","","en","United States","","","","17.84","2016-11-07"
"9","http://www.chicagotribune.com/","Chicago Tribune","USA","US-IL","en","United States","print_native","","","150.16","2011-01-03"
"26590","http://cincinnati.com","cincinnati.com","USA","US-OH","en","United States","digital_native","","","56.24","2015-08-10"
"1641","http://www.cleveland.com/","cleveland.com","USA","US-OH","en","United States","digital_native","","","11.06","2011-01-03"
"4415","http://cnet.com","CNET","USA","","en","United States","digital_native","this is a new public note about cnet","","182.7","2012-10-22"
"142830","http://comicbook.com/","comicbook.com","","","en","United States","","","","132.39","2016-05-09"
"8","http://www.nydailynews.com/","Daily News","USA","NY","en","United States","print_native","Public info about ny daily news","","111.79","2011-10-17"
"12","http://www.dallasnews.com/","Dallas Morning News","USA","US-TX","en","United States","print_native","","","6.44","2012-04-23"
