media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18839","http://blogs.wsj.com","blogs.wsj.com","USA","","en","United States","print_native","","","0.0","2014-01-06"
"40944","http://bloomberg.com","Bloomberg","USA","","en","United States","digital_native","","","55.94","2013-09-23"
"19334","http://www.breitbart.com","Breitbart","USA","","en","United States","digital_native","","","201.04","2014-04-07"
"18710","http://www.businessinsider.com","Business Insider","USA","","en","United States","digital_native","","","257.72","2013-06-10"
"6218","http://www.buzzfeed.com","Buzzfeed","USA","","en","none","digital_native","","","107.62","2014-02-10"
"1752","http://www.cbsnews.com/","cbs news","USA","NY","en","United States","video_broadcast","","","302.13","2015-06-15"
"1755","http://www.cnbc.com/","CNBC","USA","","en","United States","video_broadcast","","","208.1","2015-09-14"
"1095","http://www.cnn.com/","CNN","USA","GA","en","United States","video_broadcast","this is a public note about cnn","","466.68","2012-12-10"
"18775","http://dailycaller.com","Daily Caller","USA","","en","United States","digital_native","","","160.99","2013-06-24"
"8","http://www.nydailynews.com/","Daily News","USA","NY","en","United States","print_native","Public info about ny daily news","","111.79","2011-10-17"
"1145","http://drudgereport.com/","drudgereport","USA","","en","United States","digital_native","","","258.4","2011-05-02"
"18840","http://finance.yahoo.com","finance.yahoo.com","USA","","en","United States","digital_native","","","141.62","2017-08-21"
"1104","http://www.forbes.com/","Forbes","USA","","en","United States","print_native","","","327.82","2011-04-25"
"1092","http://www.foxnews.com/","FOX News","USA","US-NY","en","United States","video_broadcast","","","1029.09","2012-10-15"
"623382","http://www.theguardian.com/us","Guardian - United States","USA","","en","none","print_native","","","95.93","2015-11-09"
"27502","http://www.huffingtonpost.com/#","Huffington Post","USA","","en","United States","","","","401.91","2012-09-17"
"6","http://www.latimes.com/","LA Times","USA","US-CA","en","United States","print_native","","","485.64","2014-05-05"
"25499","http://www.nbcnews.com","NBC News","USA","","en","United States","","","","200.12","2013-06-03"
"1","http://nytimes.com","New York Times","USA","NY","en","United States","print_native","","","191.62","2012-06-11"
"1101","http://www.newyorker.com/","New Yorker","USA","","en","United States","print_native","","","84.12","2013-06-24"
"25349","http://www.newsmax.com","NewsMax","USA","","en","United States","digital_native","","","73.07","2013-06-24"
"18268","https://www.politico.com/","Politico","USA","","en","United States","print_native","","","100.41","2015-08-31"
"4442","http://www.reuters.com","Reuters","USA","PA","en","none","other","","","469.96","2013-06-03"
"19643","http://www.slate.com","Slate.com","USA","","en","United States","digital_native","","","23.38","2014-07-21"
"1110","http://www.theatlantic.com/","The Atlantic","USA","","en","United States","print_native","","","40.0","2015-08-10"
"22088","http://www.theblaze.com","The Blaze","USA","","en","United States","digital_native","","","53.61","2013-06-03"
"4419","http://time.com","Time","USA","","en","United States","","","","43.72","2011-05-02"
"4","http://www.usatoday.com","USA Today","USA","US-OH","en","United States","print_native","","","164.23","2013-06-03"
"104828","http://www.vox.com","Vox","USA","","en","United States","digital_native","","","58.8","2014-08-04"
"1150","https://www.wsj.com/","Wall Street Journal","USA","US-NY","en","United States","print_native","1st paragraph of each story only","","426.73","2011-01-03"
"2","http://washingtonpost.com","Washington Post","USA","DC","en","United States","print_native","","","835.8","2013-06-10"
"751082","https://www.yahoo.com/news/","Yahoo News - Latest News & Headlines","","","en","United States","","","","196.04","2016-07-25"
